date,model,provider,task_category,latency_ms,tokens_per_second,input_tokens,output_tokens,total_tokens,accuracy_percent,pass_rate_percent,hallucination_rate_percent,cost_usd,error_rate_percent,user_satisfaction
2026-04-01,gemma4:e2b,Ollama,chat,820,42.5,780,260,1040,84.2,88.0,6.4,0.000,1.8,4.2
2026-04-01,gemma4:e4b,Ollama,chat,1180,35.1,790,310,1100,88.7,91.5,4.7,0.000,1.2,4.4
2026-04-01,llama3.2:3b,Ollama,chat,940,39.8,760,280,1040,82.9,86.3,7.8,0.000,2.5,4.0
2026-04-01,qwen2.5:7b,Ollama,chat,1520,28.4,810,340,1150,90.1,92.4,3.9,0.000,1.0,4.5
2026-04-08,gemma4:e2b,Ollama,document_qa,1120,31.6,1850,420,2270,81.5,84.0,8.1,0.000,2.4,4.0
2026-04-08,gemma4:e4b,Ollama,document_qa,1680,25.2,1900,470,2370,87.3,89.7,5.2,0.000,1.6,4.3
2026-04-08,llama3.2:3b,Ollama,document_qa,1340,29.7,1820,390,2210,79.8,82.9,9.4,0.000,3.2,3.8
2026-04-08,qwen2.5:7b,Ollama,document_qa,2040,21.5,1960,510,2470,89.6,91.2,4.4,0.000,1.4,4.4
2026-04-15,gemma4:e2b,Ollama,summarization,760,46.2,1450,210,1660,86.8,90.1,4.9,0.000,1.1,4.3
2026-04-15,gemma4:e4b,Ollama,summarization,1030,38.7,1480,240,1720,90.5,93.0,3.5,0.000,0.9,4.6
2026-04-15,llama3.2:3b,Ollama,summarization,890,43.1,1420,220,1640,84.1,87.6,6.2,0.000,1.8,4.1
2026-04-15,qwen2.5:7b,Ollama,summarization,1410,30.9,1510,260,1770,91.4,94.2,2.9,0.000,0.8,4.7
2026-04-22,gemma4:e2b,Ollama,coding,1320,27.8,980,520,1500,73.6,76.4,10.8,0.000,3.6,3.7
2026-04-22,gemma4:e4b,Ollama,coding,1860,22.4,1020,610,1630,80.9,83.2,7.1,0.000,2.7,4.1
2026-04-22,llama3.2:3b,Ollama,coding,1480,25.6,970,560,1530,71.8,74.9,12.6,0.000,4.1,3.5
2026-04-22,qwen2.5:7b,Ollama,coding,2310,18.9,1060,660,1720,84.7,86.5,5.8,0.000,2.1,4.3
2026-04-29,gemma4:e2b,Ollama,vision_qa,1580,24.3,620,300,920,78.4,81.0,9.7,0.000,3.1,3.9
2026-04-29,gemma4:e4b,Ollama,vision_qa,2190,19.6,650,360,1010,84.9,87.8,6.5,0.000,2.3,4.2
2026-04-29,llama3.2:3b,Ollama,vision_qa,1710,22.8,610,320,930,75.2,78.3,11.9,0.000,3.8,3.6
2026-04-29,qwen2.5:7b,Ollama,vision_qa,2680,16.7,690,390,1080,86.1,88.4,5.9,0.000,2.0,4.3
2026-05-01,gemma4:e2b,Ollama,visualization,980,36.9,900,330,1230,83.7,86.8,6.9,0.000,2.0,4.2
2026-05-01,gemma4:e4b,Ollama,visualization,1370,30.4,930,390,1320,88.9,91.1,4.8,0.000,1.5,4.5
2026-05-01,llama3.2:3b,Ollama,visualization,1160,33.5,880,350,1230,80.6,83.9,8.5,0.000,2.8,3.9
2026-05-01,qwen2.5:7b,Ollama,visualization,1760,24.2,970,420,1390,90.7,92.9,3.7,0.000,1.2,4.6
